comment_id,year_sentiment,year_sentiment_confidence,negativereason,negativereason_confidence,year,name,comment_count,text,comment_created,latitude,longitude
5.70306E+15,negative,1,Customer Service Issue,0.7033,2022,Dimon Dubrovski,0,"Ужасное место. Лицемерные сотрудники колледжа, которым начхать на своих же абитуриентов",,53.89993,25.2962
5703061336777611,negative,0.3486,Customer Service Issue,1,2022,Slipa on yo mind ,0,"""Неплохо, но зимой холодно. В общежитии слишком много тараканов.""",,53.89993,25.2962
5703061336777612,negative,0.6837,Customer Service Issue,0.6842,2022,_s.u.r.p.r.i.s.e__,0,"""@uo_ggkttid как говорится, что посеешь - то и пожнёшь""",,53.89993,25.2962
5703061336777613,negative,1,Customer Service Issue,0.7033,2022,_s.u.r.p.r.i.s.e__,0,"""Ну, этот диплом по жизни много даст, так же как и диплом после колледжа""",,53.89993,25.2962
5703061336777614,negative,1,Customer Service Issue,1,2022,_s.u.r.p.r.i.s.e__,0,"""В колледже, по одной из специальностей, обучаются программисты в направлении ""компьютерная графика"", по вашим фотографиям и не скажешь, на Nokia 3310 фотографии лучше получаются""",,53.89993,25.2962
5703061336777615,negative,1,Customer Service Issue,0.6842,2022,_s.u.r.p.r.i.s.e__,0,"""К слову, кто такой святой Валентин и что с ним стало:А святой Валентин был обычным полевым врачом и священником, который сочувствовал несчастным влюблённым и тайком от всех, под покровом ночи освящал брак любящих мужчин и женщин. Вскоре деятельность святого Валентина стала известна властям, и его посадили в темницу, приговорив к смертной казни. (по моему мнению, когда речь идёт о смерти, люди скорбят, а не радуются как вы)""",,53.89993,25.2962
5703061336777616,negative,0.6745,Customer Service Issue,0.7033,2022,_s.u.r.p.r.i.s.e__,0,"""Почему администрация колледжа без масок? На входе в колледж висит надпись введён обязательный масочный режим?""",,53.89993,25.2962
5703061336777617,negative,0.634,Customer Service Issue,1,2022,_s.u.r.p.r.i.s.e__,0,"""Масочный режим в колледже уже отметили? А почему надпись на двери до сих пор висит? Куда смотрит администрация колледжа""",,53.89993,25.2962
5703061336777618,negative,0.6559,Customer Service Issue,0.6842,2022,yan0303v_,0,"""Я сожалею о том что опять увидел то что некоторые люди ошибаются в своих решениях наши девочки 13 эо были и всегда буду лучше всех . 13 эо ещё покажет что может . Спасибо за внимания""",,53.89993,25.2962
5703061336777619,positive,1,,,2022,uo_ggkttid,0,"""@_s.u.r.p.r.i.s.e__ молодец, что заметил Виктор! Хорошо, что с тобой знакомиться не нужно вновь, не меняешься!""",,53.89993,25.2962
5.70306E+15,positive,0.6769,,,2022,_skiffff_,0,"""Вааай, какие красотки 😍""",,53.89993,25.2962
5703061336777621,positive,1,,,2022,_alexandr.sayko_,0,Поднялся,,53.89993,25.2962
5703061336777622,positive,1,,,2022,tyoma_ryzhik51,0,"""Какие же красавцы, а😍""",,52.05873,23.7139
5703061336777623,positive,0.6451,,,2022,liliyakurilenok,0,"""👏👏👏👏Молодцы. Серьёзная награда.""",,52.05873,23.7139
5703061336777624,positive,1,,,2022,elenalesko1802,0,👏👏👏молодцы🔥,,52.05873,23.7139
5703061336777625,positive,0.6842,,,2022,_s.u.r.p.r.i.s.e__,0,Армия - это круто!,,52.05873,23.7139
5703061336777626,positive,1,,,2022,bezmen3,0,❤️❤️❤️❤️❤️🔥🔥🔥🔥❤️,,52.05873,23.7139
5703061336777627,positive,0.6931,,,2022,elena.gavrosh,0,Удачи вам!!!🔥,,52.05873,23.7139
